time,monitor,analyzer,planner,executor
18.237809419631958,0.103271,0.0,0,0
19.244102954864502,0.124878,0.0,0.0,0.0
20.249311923980713,0.08252,0.0,0.0,0.0
21.25371503829956,0.065125,0.0,0.0,0.0
22.25833535194397,0.124877,0.0,0.0,0.0
23.263304471969604,0.053955,0.0,0,0
24.26626205444336,0.061401,0.0,0,0
25.26903533935547,0.071228,0.0,0.0,0.0
26.275784730911255,0.244323,0.0,0.0,0.0
27.281848192214966,0.063537,0.0,0,0
28.285581827163696,0.11029,0.0,0,0
29.29013204574585,0.08429,0.0,0.0,0.0
30.2946879863739,0.123962,0.0,0,0
31.30009698867798,0.084473,0.0,0,0
32.30342936515808,0.0531,0.0,0,0
33.30728602409363,0.140076,0.0,0,0
34.31327176094055,0.174438,0.0,0.0,0.030213
35.31987977027893,0.13269,0.0,0.0,0.0
36.32444381713867,0.061096,0.0,0,0
37.32949686050415,0.101867,0.024353,0,0
38.334935665130615,0.218262,0.0,0,0
39.34321689605713,0.072754,0.0,0.0,0.0
40.34947657585144,0.188171,0.0,0.0,0.0
41.356468200683594,0.060119,0.0,0,0
42.36125445365906,0.043762,0.0,0,0
43.36551022529602,0.085266,0.0,0,0
44.37043595314026,0.029358,0.0,0,0
45.37448787689209,0.065308,0.0,0,0
46.378875970840454,0.069946,0.0,0,0
47.38409733772278,0.09436,0.0,0.0,0.0
48.390005111694336,0.110046,0.0,0.0,0.0
49.39463257789612,0.138671,0.0,0.0,0.0
50.400890827178955,0.112731,0.0,0,0
51.40575337409973,0.057006,0.0,0,0
52.40944862365723,0.11499,0.0,0,0
53.41261434555054,0.073731,0.0,0,0
54.41610336303711,0.125244,0.0,0,0
55.420023679733276,0.154053,0.0,0.0,0.0
56.42587757110596,0.118591,0.0,0.0,0.0
57.43075180053711,0.036743,0.0,0,0
58.43433618545532,0.067932,0.0,0,0
59.4383111000061,0.194213,0.0,0.0,0.0
60.44441533088684,0.120239,0.0,0,0
61.447882413864136,0.052063,0.0,0.0,0.0
62.451695919036865,0.034973,0.0,0.0,0.0
63.45594382286072,0.046204,0.0,0,0
64.45979523658752,0.066406,0.0,0,0
65.46403765678406,0.077759,0.0,0,0
66.46920943260193,0.050842,0.0,0,0
67.4732825756073,0.075562,0.0,0,0
68.47787618637085,0.045716,0.0,0,0
69.48221254348755,0.049804,0.0,0,0
70.48632526397705,0.101013,0.0,0.0,0.0
71.49113392829895,0.082092,0.0,0,0
72.49514698982239,0.100281,0.0,0,0
73.49855661392212,0.121338,0.0,0.0,0.0
74.50313687324524,0.141052,0.0,0.0,0.0
75.50794315338135,0.134033,0.0,0,0
76.51357698440552,0.02832,0.0,0,0
77.51746869087219,0.080445,0.0,0,0
78.52238774299622,0.045898,0.0,0,0
79.52628564834595,0.096557,0.0,0.0,0.0
80.53318548202515,0.180236,0.0,0,0
81.54169464111328,0.174682,0.0,0,0
82.54763793945312,0.155883,0.0,0,0
83.55293154716492,0.050599,0.0,0,0
