,total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_model_small,avg_conf_small,current_boxes_small,energy_consumption(J)_small,current_cpu_small,measure_duration(s)_small,current_model_medium,avg_conf_medium,current_boxes_medium,energy_consumption(J)_medium,current_cpu_medium,measure_duration(s)_medium,current_model_large,avg_conf_large,current_boxes_large,energy_consumption(J)_large,current_cpu_large,measure_duration(s)_large
0,2797,1.9251142529787248,100,255.256,yolov5n,0.7966733773549398,6,0.751768,10.7,0.02763781,yolov5s,0.743350421388944,6,1.775752,58.8,0.056814804,yolov5m,0.8556756178538004,6,3.340873,17.0,0.12312711,yolov5l,0.9082234303156534,6,6.202132,48.9,0.140969934
1,3427,2.1912789920513576,100,179.214,yolov5n,0.6106234043836594,12,0.805845,12.9,0.035524612,yolov5s,0.6028684798408958,17,1.972346,63.2,0.061985028,yolov5m,0.6599855482578277,20,3.851614,56.7,0.095664731,yolov5l,0.6730242800712586,25,8.442544,64.8,0.194785206
2,7495,8.306639435553054,100,166.984,yolov5n,0.5053553283214569,15,0.810789,56.6,0.03537473,yolov5s,0.4820397372047106,24,1.888178,61.5,0.058970205,yolov5m,0.5184192657470703,15,3.85076,68.1,0.094602938,yolov5l,0.5761316279570262,15,7.706584,71.3,0.170413323
3,4475,2.3447937865838826,100,215.501,yolov5n,0.5584945157170296,12,0.812254,15.3,0.038408347,yolov5s,0.5505316164344549,16,3.212089,70.3,0.089234716,yolov5m,0.5620454189024473,19,5.320543,53.4,0.1237139229999999,yolov5l,0.7904244810342789,4,14.862023,73.2,0.354587207
4,4362,2.2208635620396704,100,217.355,yolov5n,0.4556436836719513,4,0.85217,41.9,0.030619283,yolov5s,0.4303713105618953,16,2.465875,26.4,0.063944949,yolov5m,0.4693459254853865,17,5.03435,13.1,0.121580654,yolov5l,0.7168308929963545,11,12.310393,55.4,0.270838154
5,4517,2.319499589262984,100,214.301,yolov5n,0.519273267550902,11,0.855161,9.8,0.029881454,yolov5s,0.4854133619981653,17,2.826958,60.9,0.088651751,yolov5m,0.5839697610248219,22,6.934369,44.6,0.212142067,yolov5l,0.9362704157829284,2,13.179226,65.2,0.29168662
6,4488,2.676082303878947,100,258.87,yolov5n,0.3921965410312016,6,0.858457,12.7,0.0304729779999999,yolov5s,0.3843953669071197,10,2.655144,30.5,0.088710022,yolov5m,0.5931910059668801,11,5.166247,17.3,0.142777147,yolov5l,0.7140266944964727,6,21.75617,65.0,0.605741134
7,4428,2.395518173117587,100,212.259,yolov5n,0.5454117432236671,4,0.859922,9.8,0.029951772,yolov5s,0.50345099568367,5,2.851433,34.7,0.070324307,yolov5m,0.6918497482935587,3,5.290086,49.6,0.126842491,yolov5l,0.9371398985385896,2,16.315082,58.6,0.380907361
8,4570,2.3524770100078167,100,337.502,yolov5n,0.6297359863917033,3,0.861265,9.6,0.030898663,yolov5s,0.5060907857758659,7,2.605402,55.1,0.065447926,yolov5m,0.6730678379535675,8,5.554856,51.6,0.157199644,yolov5l,0.6473540334325087,19,11.165865,54.5,0.268370342
9,4485,2.428439728227402,100,328.002,yolov5n,0.6282955408096313,1,0.887205,6.1,0.031875408,yolov5s,0.5257696509361267,1,3.400748,68.2,0.09609499,yolov5m,0.6578678290049235,3,6.951032,67.5,0.1554795139999999,yolov5l,0.8189671039581299,2,11.413789,50.0,0.257296774
10,4556,2.4961665548483856,100,247.031,yolov5n,0.3850404322147369,1,0.887388,7.9,0.032143558,yolov5s,0.0,0,3.088249,34.6,0.076135481,yolov5m,0.4745944440364837,1,7.444012,50.0,0.22757385,yolov5l,0.5962892889976501,5,10.988986,55.3,0.247682784
11,4553,2.6432623108001687,100,307.245,yolov5n,0.5070502034255436,28,0.889402,22.4,0.031747086,yolov5s,0.488265500423756,47,2.49328,38.4,0.062399532,yolov5m,0.5620921075344085,50,5.105212,13.0,0.1220993549999999,yolov5l,0.815611998240153,3,15.45217,68.1,0.429099467
12,4387,2.481846150889427,100,190.376,yolov5n,0.5691816210746765,11,0.891965,45.5,0.031645605,yolov5s,0.5182575115135738,14,3.696828,34.4,0.1032439389999999,yolov5m,0.5998672445615133,15,5.720993,52.4,0.1344833379999999,yolov5l,0.6456011712551117,10,14.537072,65.5,0.3175318
13,1562,2.4585003863685566,100,195.838,yolov5n,0.4910435974597931,2,0.898924,10.5,0.038253286,yolov5s,0.4885380640625953,4,2.72857,67.8,0.081883319,yolov5m,0.4919828027486801,6,4.235768,15.4,0.103698501,yolov5l,0.7647440910339356,5,9.081825,57.2,0.207072737
14,3453,2.706312064091536,100,213.702,yolov5n,0.6286769881844521,4,0.899107,11.4,0.040812517,yolov5s,0.6095118735517774,7,2.316827,31.0,0.077054657,yolov5m,0.636594769027498,9,5.559861,59.7,0.131705572,yolov5l,0.6426308214664459,10,10.119298,58.0,0.224684736
15,4543,2.2310548099878886,100,238.247,yolov5n,0.6624806225299835,7,0.900389,50.0,0.031525244,yolov5s,0.6519511507617103,9,3.24456,27.3,0.093470202,yolov5m,0.7380067143175337,9,6.141769,62.8,0.1504079519999999,yolov5l,0.7165836356580257,8,11.266939,56.6,0.252832294
16,3983,2.446614751397095,100,243.229,yolov5n,0.551230917374293,3,0.904111,21.0,0.042271996,yolov5s,0.5395104835430781,6,2.773308,60.9,0.084591238,yolov5m,0.8054428696632385,3,5.8405,68.9,0.1367082429999999,yolov5l,0.5778138160705566,25,10.259129,54.7,0.251580309
17,4478,2.2742294641319343,100,375.521,yolov5n,0.556965708732605,6,0.91699,7.7,0.04314986,yolov5s,0.4955460462305281,9,3.496024,25.8,0.0996288239999999,yolov5m,0.6030170619487762,8,7.372051,23.2,0.228602998,yolov5l,0.8522297143936157,2,11.390962,55.5,0.255333414
18,852,2.878814555189768,100,319.197,yolov5n,0.3934964338938395,3,0.918821,23.4,0.033463288,yolov5s,0.3909044514099757,6,2.697137,61.7,0.0724459339999999,yolov5m,0.4521190375089645,8,5.152025,14.9,0.123471391,yolov5l,0.5433189954076495,7,10.545322,52.5,0.263665585
19,1243,2.949055081043396,100,169.794,yolov5n,0.5837499499320984,3,0.922788,25.1,0.042827321,yolov5s,0.5257650784083775,7,2.938224,68.0,0.090514787,yolov5m,0.5866563455625013,11,4.960864,54.6,0.121829548,yolov5l,0.7301524536950248,7,9.968359,58.1,0.226745104
20,2358,2.5740425129515576,100,183.236,yolov5n,0.5099823077519735,3,0.927366,28.3,0.032853319,yolov5s,0.4277760883172353,3,3.056694,72.1,0.084312096,yolov5m,0.8430818915367126,1,4.563953,11.6,0.109726729,yolov5l,0.6026976406574249,2,9.568946,54.1,0.205336
21,3778,2.83168437203701,100,276.442,yolov5n,0.0,0,0.930173,23.0,0.034524546,yolov5s,0.0,0,3.384147,60.4,0.091447363,yolov5m,0.6576700210571289,1,5.161485,25.4,0.1766522539999999,yolov5l,0.6163144111633301,1,10.537632,52.6,0.275577289
22,4540,2.395732415944198,100,206.383,yolov5n,0.0,0,0.934324,9.3,0.032238239,yolov5s,0.0,0,2.981681,29.7,0.098397006,yolov5m,0.8011883497238159,1,5.668076,49.6,0.133979013,yolov5l,0.9154183566570282,2,11.615022,61.5,0.313335147
23,814,2.650435810763199,100,157.009,yolov5n,0.5557903461158276,8,0.934385,56.5,0.034340188,yolov5s,0.5052446484565735,10,3.077507,71.6,0.091627384,yolov5m,0.5701617246324365,11,4.302662,15.1,0.1064734879999999,yolov5l,0.6161195859313011,8,8.792702,56.2,0.2002481639999999
24,4042,2.444133842605221,100,153.037,yolov5n,0.0,0,0.937497,54.2,0.03600185,yolov5s,0.0,0,2.35534,63.6,0.07381734,yolov5m,0.3131239414215088,1,5.01018,61.7,0.1224810329999999,yolov5l,0.5773449242115021,3,18.380629,64.4,0.511897025
25,4481,2.5525271750360394,100,261.586,yolov5n,0.5331378926833471,6,0.943418,10.7,0.043503607,yolov5s,0.5222575664520264,10,2.809319,27.4,0.094723159,yolov5m,0.5771215806404749,12,5.652757,22.3,0.174839214,yolov5l,0.6339575797319412,6,14.722496,64.4,0.362550296
26,4555,2.4714810566842744,100,263.776,yolov5n,0.5368371981641521,23,0.944455,44.2,0.03240984,yolov5s,0.5241993248462677,30,3.079765,70.9,0.073807997,yolov5m,0.5656784220978066,27,7.125775,64.3,0.210142633,yolov5l,0.6591430583170482,14,13.375576,61.3,0.33620089
27,3095,1.9168143756559448,100,110.506,yolov5n,0.7132458835840225,8,0.946226,22.6,0.044658323,yolov5s,0.6734876980384191,12,2.641412,75.3,0.086827874,yolov5m,0.7959812446074053,11,4.5219,21.6,0.139609418,yolov5l,0.7700971911350886,12,8.738869,55.8,0.200472026
28,1995,2.2088671443155348,100,232.728,yolov5n,0.4645461738109588,7,0.951292,11.3,0.0398377929999999,yolov5s,0.4629116083184878,12,2.305964,32.7,0.058563348,yolov5m,0.4656656055073989,19,4.934314,48.9,0.14805951,yolov5l,0.5592985498277765,19,11.488985,45.2,0.262220153
29,4355,2.494276831982875,100,285.336,yolov5n,0.6459749937057495,1,0.951352,10.9,0.042600082,yolov5s,0.5637373745441436,5,2.675653,30.0,0.076593262,yolov5m,0.7373785078525543,4,6.633589,40.3,0.178030306,yolov5l,0.650958314538002,2,12.61392,61.7,0.313364688
30,2203,2.080840305300012,100,260.969,yolov5n,0.425106830894947,4,0.954099,11.6,0.039431786,yolov5s,0.3449239313602447,5,2.304376,26.5,0.07587648,yolov5m,0.5346238076686859,5,4.510181,47.7,0.10763607,yolov5l,0.6322161331772804,4,12.298186,25.6,0.364638659
31,4508,2.220763576522634,100,289.26,yolov5n,0.3864090800285339,5,0.960447,41.5,0.0344732019999999,yolov5s,0.3737719605366389,6,3.450186,25.0,0.096634674,yolov5m,0.4604628632465998,6,7.134259,27.3,0.218775364,yolov5l,0.8585710972547531,4,16.723163,63.3,0.420920487
32,22783,17.150034667880995,100,131.259,yolov5n,0.3038867712020874,1,0.961363,65.3,0.034574387,yolov5s,0.0,0,3.961904,84.2,0.10505728,yolov5m,0.5577375888824463,1,5.595323,75.8,0.127769763,yolov5l,0.5363446772098541,2,15.188194,88.6,0.332317716
33,1529,2.7667945716747773,100,184.748,yolov5n,0.7705534100532532,2,0.962278,11.2,0.042747528,yolov5s,0.736782024304072,3,3.688834,29.1,0.114209668,yolov5m,0.8802783489227295,2,5.731552,19.7,0.18641335,yolov5l,0.8925402462482452,2,12.843778,68.7,0.3102850829999999
34,2419,2.315400210528775,100,388.0,yolov5n,0.389132559299469,2,0.963498,11.7,0.040264586,yolov5s,0.2943310936292012,3,2.360956,46.0,0.078181849,yolov5m,0.5166292726993561,5,4.557483,13.1,0.109370644,yolov5l,0.5468206942081452,5,9.536169,51.0,0.210129051
35,1163,2.6236441873499934,100,198.228,yolov5n,0.6533792912960052,2,0.966062,11.0,0.034623953,yolov5s,0.6263409753640493,3,3.038139,48.6,0.096830987,yolov5m,0.8428678810596466,2,5.582017,53.4,0.1378543219999999,yolov5l,0.8133577108383179,2,11.55533,53.8,0.3203268429999999
36,4594,2.4289054310276166,100,159.989,yolov5n,0.5830869264900684,8,0.966428,34.6,0.039496971,yolov5s,0.5661158046939156,11,2.635003,66.7,0.077188075,yolov5m,0.6664283573627472,11,4.405628,12.3,0.1069678439999999,yolov5l,0.6616782750934362,16,11.825531,52.9,0.290211575
37,8921,8.45813988440114,100,130.954,yolov5n,0.5390047552910718,22,0.974362,56.5,0.035979337,yolov5s,0.5315003315607707,30,1.880855,65.6,0.058161787,yolov5m,0.5910074470134882,26,5.445299,75.2,0.14723735,yolov5l,0.5821211540699005,25,7.832866,71.9,0.165927888
38,346,3.065503698532038,100,234.63,yolov5n,0.5722223545114199,12,0.980771,11.1,0.035092563,yolov5s,0.5658366549760103,16,3.030082,61.4,0.098902832,yolov5m,0.6097890530761919,19,6.536604,56.1,0.2163537049999999,yolov5l,0.5978151979771528,22,10.688877,53.2,0.244946368
39,2483,2.4857137109594736,100,198.36,yolov5n,0.546774610877037,8,0.983457,11.7,0.04663985,yolov5s,0.5354833075633416,13,2.872124,35.8,0.094737102,yolov5m,0.7070413455367088,12,5.455186,31.5,0.142792739,yolov5l,0.6719463574034827,14,11.401216,51.8,0.249982858
40,2276,2.613047274461148,100,212.916,yolov5n,0.5410480674575356,17,0.983579,12.1,0.046456889,yolov5s,0.5322263780094328,21,3.209953,43.8,0.076359657,yolov5m,0.5872014179825783,20,5.176623,49.2,0.123723923,yolov5l,0.5468042433261872,20,11.068087,19.2,0.2426637539999999
41,1633,2.5191887389086824,100,333.794,yolov5n,0.5278822022179762,24,0.983884,14.4,0.046094877,yolov5s,0.4856014703882151,29,3.633658,27.2,0.1165204349999999,yolov5m,0.5316596608008107,31,6.234969,51.8,0.208158771,yolov5l,0.5654801869833911,27,10.867953,52.2,0.250441308
42,4541,2.460975917831548,100,400.313,yolov5n,0.5050114616751671,8,0.984372,10.8,0.035726502,yolov5s,0.4791376063456902,13,3.369803,55.6,0.105866191,yolov5m,0.5472460228663224,13,5.885727,27.6,0.140502043,yolov5l,0.674750899275144,6,15.704427,53.5,0.3514451739999999
43,350,2.8782121305174027,100,208.312,yolov5n,0.0,0,0.986509,13.8,0.044678858,yolov5s,0.0,0,3.874746,69.8,0.1164674149999999,yolov5m,0.3416731506586075,2,7.050702,64.7,0.232033489,yolov5l,0.3465734422206878,2,14.525353,69.1,0.372730976
44,409,2.719423883599152,100,219.503,yolov5n,0.5387546002864838,20,0.987242,15.4,0.035268964,yolov5s,0.536317608008782,24,3.980764,78.7,0.10706611,yolov5m,0.5474501869508198,28,6.388473,20.8,0.154084775,yolov5l,0.540322538578149,33,15.095664,66.9,0.43601651
45,3416,2.4042858955066198,100,312.053,yolov5n,0.6063432544469833,4,0.98834,12.8,0.047286694,yolov5s,0.5889889214720044,7,3.425712,58.8,0.095486721,yolov5m,0.6901756993361882,7,6.805403,60.5,0.212763587,yolov5l,0.7508866957255772,7,13.020658,60.6,0.351324574
46,3425,2.486605579274771,100,279.938,yolov5n,0.5542340179284414,6,0.988706,11.4,0.03570233,yolov5s,0.5467224791646004,8,3.134269,39.8,0.0938541919999999,yolov5m,0.5823347398212978,7,6.39897,24.8,0.166384805,yolov5l,0.5889170169830322,6,11.426057,56.7,0.25612663
47,1503,2.8492292301996787,100,347.721,yolov5n,0.6446593635612063,9,0.991514,11.6,0.037373244,yolov5s,0.579192066565156,16,2.930291,58.6,0.095990509,yolov5m,0.6594559976032802,14,5.401781,35.6,0.157084599,yolov5l,0.6827380915482839,15,12.037445,53.4,0.368179082
48,3190,2.1794779704286755,100,335.272,yolov5n,0.620567528406779,15,0.991575,12.8,0.047192568,yolov5s,0.6163569233919445,19,2.806451,54.3,0.091676017,yolov5m,0.7374952832857767,15,6.893049,21.8,0.221136207,yolov5l,0.6627690182490782,22,10.969027,52.8,0.2446435549999999
49,3695,2.2419338506330497,100,145.035,yolov5n,0.5660760819911956,10,0.992491,57.4,0.035358673,yolov5s,0.5463160368112417,13,2.721855,33.2,0.087922407,yolov5m,0.5943011542161306,12,5.668748,36.3,0.199730417,yolov5l,0.6265094853364505,13,13.152554,62.3,0.343652915
50,4138,2.467095476622962,100,279.654,yolov5n,0.5717210657894611,16,0.993345,11.5,0.0476402609999999,yolov5s,0.5559714555740356,20,3.350944,36.2,0.093380755,yolov5m,0.6057416059468922,19,7.013532,70.1,0.171319743,yolov5l,0.7868912070989609,4,12.674589,53.4,0.327021792
51,1977,2.129111644403358,100,299.307,yolov5n,0.85896235704422,1,0.993894,11.9,0.0450722609999999,yolov5s,0.8139593601226807,1,4.051138,52.3,0.108802579,yolov5m,0.876721203327179,1,5.130113,20.1,0.123347745,yolov5l,0.8800687789916992,1,10.355443,25.5,0.230710753
52,4007,2.477278468104859,100,139.25,yolov5n,0.4463249891996383,6,0.995603,29.2,0.041883601,yolov5s,0.3724731935395134,9,2.826897,25.0,0.081762693,yolov5m,0.455146711319685,8,6.922467,71.2,0.1981657,yolov5l,0.6159637033939361,5,14.643761,67.5,0.357372349
53,3942,2.7426709548998462,100,209.245,yolov5n,0.0,0,0.997006,21.9,0.044508218,yolov5s,0.0,0,3.198539,67.7,0.080568686,yolov5m,0.618910402059555,2,5.768906,52.2,0.1994404849999999,yolov5l,0.6218674927949905,12,11.512727,51.0,0.259960139
54,3550,2.489945697257105,100,348.865,yolov5n,0.6061323334773382,6,0.997556,26.9,0.047096611,yolov5s,0.5759868494101933,7,2.887993,24.7,0.070782857,yolov5m,0.7272174775600433,5,7.978984,68.1,0.2314903109999999,yolov5l,0.8606945276260376,5,10.494297,19.6,0.234409766
55,737,2.715287428899799,100,296.802,yolov5n,0.4354754537343979,2,0.998105,9.3,0.036552029,yolov5s,0.4174067229032516,8,3.638113,27.6,0.117044653,yolov5m,0.8864927291870117,1,6.009017,53.8,0.184985448,yolov5l,0.5514952465891838,4,11.243074,54.9,0.254418643
56,3551,2.5994785328830003,100,313.788,yolov5n,0.6889436990022659,12,0.999021,10.8,0.036467462,yolov5s,0.6744987735381494,13,3.034233,67.0,0.073057206,yolov5m,0.6922909104161792,18,8.66105,76.7,0.23086707,yolov5l,0.7318950874937905,18,12.501738,61.7,0.286216205
57,1327,2.6392423905600477,100,236.516,yolov5n,0.7415612936019897,1,1.001463,22.9,0.034928864,yolov5s,0.5390484035015106,2,3.084343,64.4,0.098026988,yolov5m,0.8069575130939484,2,7.692668,25.7,0.225303743,yolov5l,0.8571735620498657,2,12.150115,54.1,0.37856125
58,3493,2.3002436000689306,100,263.439,yolov5n,0.0,0,1.002133,11.6,0.046068198,yolov5s,0.0,0,2.565301,57.0,0.0651045,yolov5m,0.5334283709526062,1,5.395189,17.4,0.163779945,yolov5l,0.7014854550361633,1,15.245017,66.1,0.4280966
59,3764,2.441894474832309,100,121.982,yolov5n,0.4417619198560715,10,1.003781,27.2,0.045133567,yolov5s,0.4256018996238708,19,2.847771,33.2,0.0691571659999999,yolov5m,0.4726466923952103,10,6.946515,63.7,0.214003772,yolov5l,0.5134588267121997,7,11.148592,58.1,0.2528476
60,2078,1.8929407264197564,100,387.89,yolov5n,0.4542232155799866,1,1.004391,12.6,0.043519807,yolov5s,0.4509188383817673,2,3.303031,63.8,0.0960441799999999,yolov5m,0.7515377700328827,2,4.810778,18.1,0.116389788,yolov5l,0.6469463109970093,2,9.614111,46.3,0.213687729
61,2768,2.20200871198638,100,228.53,yolov5n,0.6504990011453629,6,1.005735,20.6,0.045722374,yolov5s,0.5717840850353241,10,3.365836,45.8,0.094969818,yolov5m,0.6637641853756375,9,6.840376,63.2,0.217791987,yolov5l,0.6805765380462011,12,12.306731,59.6,0.282104787
62,4557,2.3285682388655684,100,277.43,yolov5n,0.3891669243574142,10,1.005918,41.2,0.034801612,yolov5s,0.370775518938899,32,3.271537,71.0,0.080353451,yolov5m,0.4049193872057873,46,5.517014,20.2,0.170532339,yolov5l,0.7240405678749084,2,12.292083,59.2,0.274414907
63,536,2.863197392466396,100,285.043,yolov5n,0.5020645558834076,2,1.006284,9.7,0.036450941,yolov5s,0.4167377054691314,6,3.92748,33.0,0.108365704,yolov5m,0.5864829599857331,5,5.827195,15.7,0.13854441,yolov5l,0.5862231552600861,4,14.273279,65.7,0.350894249
64,2036,2.266848372906547,100,368.792,yolov5n,0.6440310147073534,9,1.008664,25.0,0.046142493,yolov5s,0.6006998878258926,13,2.829095,54.1,0.091759943,yolov5m,0.6551378277631906,13,5.748032,52.9,0.133062661,yolov5l,0.6972759068012238,13,10.823337,51.5,0.252791464
65,2724,1.867604143143238,100,219.807,yolov5n,0.6297508428494135,6,1.009274,12.3,0.044493042,yolov5s,0.5697434216737747,10,2.489739,26.5,0.081333943,yolov5m,0.6626385829665444,11,6.806684,38.4,0.208148484,yolov5l,0.6803639233112335,10,14.556787,59.6,0.395392075
66,9888,8.744731998350682,100,238.538,yolov5n,0.4600096717476845,4,1.010373,56.5,0.03331636,yolov5s,0.3994456440210342,10,2.647881,64.0,0.079320117,yolov5m,0.5078662484884262,12,6.592695,66.7,0.144952735,yolov5l,0.5611338344487277,11,11.757416,72.1,0.252788898
67,3037,2.052185483853851,100,249.445,yolov5n,0.747900515794754,2,1.011472,16.0,0.037192105,yolov5s,0.579385906457901,3,2.640191,27.8,0.065097867,yolov5m,0.8008732497692108,2,5.427782,36.0,0.130645164,yolov5l,0.8330242037773132,2,10.545628,50.2,0.2336394299999999
68,562,3.125614177683883,100,231.793,yolov5n,0.6560824786623319,12,1.011716,10.5,0.045779824,yolov5s,0.6490213380140417,17,3.343131,69.6,0.091318346,yolov5m,0.6682321892844306,18,6.479903,51.8,0.160211764,yolov5l,0.6909386118253072,18,11.303865,56.5,0.256437194
69,770,2.4935763299478446,100,280.813,yolov5n,0.5191846713423729,16,1.012632,20.9,0.037356604,yolov5s,0.5054306912422181,25,4.065236,31.2,0.128189908,yolov5m,0.5282900578209332,28,6.573469,57.2,0.176468815,yolov5l,0.6309524476528168,25,11.937225,54.5,0.272233156
70,3150,2.2471263098208176,100,226.72,yolov5n,0.5888803787529469,8,1.012937,12.4,0.045164752,yolov5s,0.5726674117825248,11,2.499872,27.9,0.062833362,yolov5m,0.7815604891095843,7,7.158124,25.5,0.2182875219999999,yolov5l,0.6780960112810135,10,11.394075,56.4,0.2481166719999999
71,1871,2.3595205039065608,100,123.89,yolov5n,0.5229596644639969,2,1.013792,11.5,0.035650233,yolov5s,0.4646493196487427,1,3.070427,36.9,0.07322709,yolov5m,0.6724750995635986,1,5.356859,20.2,0.1273308169999999,yolov5l,0.7077796757221222,2,13.615078,66.7,0.310818765
72,3253,2.310984115652295,100,153.752,yolov5n,0.5593997438748678,3,1.014097,26.8,0.042361387,yolov5s,0.5427524521946907,4,2.309565,34.0,0.076609853,yolov5m,0.6180831491947174,6,4.651661,21.6,0.11625707,yolov5l,0.5958652240889413,7,9.94132,61.0,0.228568989
73,5086,5.086978560571394,100,137.712,yolov5n,0.8380337953567505,1,1.01428,11.6,0.043961801,yolov5s,0.7413972616195679,1,3.050956,64.7,0.088885716,yolov5m,0.932120680809021,1,5.595628,53.3,0.126732856,yolov5l,0.8920462131500244,1,12.48831,65.7,0.267500983
74,579,2.745022949585183,100,197.853,yolov5n,0.6505250136057535,3,1.015562,11.9,0.0449973589999999,yolov5s,0.6309683695435524,4,2.846123,40.4,0.075338489,yolov5m,0.6809074133634567,4,6.374983,59.9,0.154804006,yolov5l,0.687821701169014,4,14.168238,68.4,0.334869856
75,1195,2.835737988269172,100,213.828,yolov5n,0.5843308170636495,6,1.016782,9.4,0.035275017,yolov5s,0.5611009716987609,10,3.271721,38.4,0.101475067,yolov5m,0.6482103500101302,9,6.126022,48.2,0.185421098,yolov5l,0.588698822259903,10,13.871852,68.7,0.3259619689999999
76,15527,18.785393848622245,100,86.73,yolov5n,0.469913641611735,3,1.017576,60.9,0.039729889,yolov5s,0.459847731249673,7,3.838979,90.7,0.087914281,yolov5m,0.476030515299903,9,7.131695,84.6,0.1540334029999999,yolov5l,0.5405258451189313,7,16.177815,86.8,0.354899076
77,5464,4.995531859579426,100,215.933,yolov5n,0.658709391951561,4,1.017636,11.9,0.032478431,yolov5s,0.592295914888382,5,2.519403,63.6,0.0570400089999999,yolov5m,0.7481030523777008,4,6.075912,68.0,0.132566032,yolov5l,0.7461191788315773,4,9.732885,53.8,0.20628682
