,total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_model_small,avg_conf_small,current_boxes_small,energy_consumption(J)_small,current_cpu_small,measure_duration(s)_small,current_model_medium,avg_conf_medium,current_boxes_medium,energy_consumption(J)_medium,current_cpu_medium,measure_duration(s)_medium,current_model_large,avg_conf_large,current_boxes_large,energy_consumption(J)_large,current_cpu_large,measure_duration(s)_large
248,4601,2.392194567489561,100,259.175,yolov5n,0.8260084986686707,1,1.313351,27.6,0.054674735,yolov5s,0.8529868125915527,1,3.505912,31.9,0.098836013,yolov5m,0.9301214218139648,1,5.478502,13.0,0.12872742,yolov5l,0.450188053978814,9,14.674401,58.9,0.445178975
249,4761,4.750087632735272,100,277.896,yolov5n,0.6257708668708801,1,1.314511,47.3,0.054499872,yolov5s,0.853949248790741,2,3.193168,58.2,0.101324874,yolov5m,0.6660553812980652,3,7.573284,67.8,0.178394453,yolov5l,0.5442289292812348,5,11.15494,52.7,0.23732332
250,24825,7.539771402694847,100,193.153,yolov5n,0.7484153211116791,2,1.314694,59.3,0.043494546,yolov5s,0.7811155319213867,2,3.921499,80.6,0.090626674,yolov5m,0.7569580773512522,3,11.13077,89.5,0.247276521,yolov5l,0.7353578905264536,3,22.394596,84.3,0.504953643
251,4858,4.795592285763567,100,168.298,yolov5n,0.5804244428873062,2,1.315487,64.9,0.042927036,yolov5s,0.6576359272003174,2,3.276481,65.3,0.0965705289999999,yolov5m,0.8291831612586975,2,5.959457,52.1,0.136904769,yolov5l,0.4767819941043854,14,17.899185,71.5,0.45562264
252,5590,5.19201603357702,100,221.139,yolov5n,0.6870814178671155,7,1.315853,52.4,0.049827705,yolov5s,0.7987132668495178,7,3.188651,70.7,0.071946974,yolov5m,0.7839067280292511,7,7.519268,64.4,0.214857532,yolov5l,0.6436217758390639,9,13.365261,67.2,0.282769231
253,1314,2.587236195270545,100,190.285,yolov5n,0.8158256709575653,2,1.316403,62.5,0.053984643,yolov5s,0.8711416721343994,2,4.397938,77.1,0.123017892,yolov5m,0.8840755820274353,2,6.728254,62.3,0.160367437,yolov5l,0.7188619573911031,3,12.535246,59.7,0.295488112
254,3971,2.4265906194603177,100,276.24,yolov5n,0.5932437380154928,6,1.317623,54.2,0.050975145,yolov5s,0.6816650107502937,8,3.006279,68.2,0.072787405,yolov5m,0.6001272747913996,12,5.579514,25.5,0.208133621,yolov5l,0.5551467388868332,12,11.468355,52.4,0.252732471
255,24170,9.21257812050862,100,273.757,yolov5n,0.4793669879436493,1,1.318051,56.7,0.037184048,yolov5s,0.6309302151203156,2,4.442493,86.6,0.1109382979999999,yolov5m,0.6828998774290085,2,11.195833,86.9,0.282908137,yolov5l,0.4730795472860336,4,20.572091,82.4,0.4972042519999999
256,24796,7.485174567655007,100,379.16,yolov5n,0.6740967101520963,9,1.322506,50.7,0.044611026,yolov5s,0.6805250495672226,12,6.906538,90.5,0.178685524,yolov5m,0.7153576589547671,13,9.410132,76.6,0.223728056,yolov5l,0.6357087045907974,16,18.993726,86.6,0.40168154
257,4169,2.306805493951158,100,286.287,yolov5n,0.7675342985561916,7,1.324825,22.2,0.061319442,yolov5s,0.8056090772151947,8,3.515433,29.9,0.097702482,yolov5m,0.775744054466486,8,8.533853,29.8,0.213751765,yolov5l,0.7353653146160973,9,12.556548,52.7,0.331158868
258,6087,5.940010016343234,100,273.939,yolov5n,0.639428953329722,3,1.325741,53.8,0.039833874,yolov5s,0.7960049311319987,3,3.679312,71.8,0.095360112,yolov5m,0.6441302547852198,6,6.631209,63.0,0.154516631,yolov5l,0.6367412848131997,7,11.386995,54.4,0.24369373
259,6014,5.524792483755348,100,227.228,yolov5n,0.6859176158905029,3,1.328488,13.1,0.04123297,yolov5s,0.7859630187352499,3,3.202323,60.2,0.091437475,yolov5m,0.7621862515807152,4,6.775007,66.9,0.152845638,yolov5l,0.6546156466007232,5,12.327544,62.7,0.266427765
260,19006,10.258126041698036,100,252.745,yolov5n,0.5732559151947498,8,1.330075,54.9,0.047450471,yolov5s,0.58724644780159,10,4.772205,82.1,0.130113897,yolov5m,0.5799151162306467,12,10.550388,85.3,0.265315346,yolov5l,0.5057458941425595,14,19.914805,83.4,0.422245557
261,16235,19.462294809786712,100,279.728,yolov5n,0.616212785243988,2,1.330258,54.7,0.040923086,yolov5s,0.7695702463388443,8,5.524705,81.1,0.129764979,yolov5m,0.8047903180122375,2,10.202367,81.1,0.231643663,yolov5l,0.5567418289811987,19,21.845709,89.3,0.499872054
