,total_processed,input_rate,image_quality,file_size(kB),current_model,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_model_small,avg_conf_small,current_boxes_small,energy_consumption(J)_small,current_cpu_small,measure_duration(s)_small,current_model_medium,avg_conf_medium,current_boxes_medium,energy_consumption(J)_medium,current_cpu_medium,measure_duration(s)_medium,current_model_large,avg_conf_large,current_boxes_large,energy_consumption(J)_large,current_cpu_large,measure_duration(s)_large
0,4444,2.421262249815299,100,302.576,yolov5n,0.7260260879993439,6,0.776915,7.2,0.039155362,yolov5s,0.7318471457277026,7,3.061393,29.1,0.087420239,yolov5m,0.6908208893405067,9,4.756579,20.9,0.125181884,yolov5l,0.7677818611264229,4,22.156926,67.4,0.615307116
1,4382,2.570141701148279,100,146.474,yolov5n,0.7541036009788513,2,0.822752,10.9,0.041039924,yolov5s,0.8103909492492676,2,3.594779,76.8,0.098544143,yolov5m,0.7453764975070953,2,6.978681,26.4,0.2134018869999999,yolov5l,0.8414543867111206,2,10.312474,57.3,0.226562349
2,4533,2.3272353628773,100,153.262,yolov5n,0.5291984412405226,9,0.83386,6.7,0.028966763,yolov5s,0.5865503317779965,9,3.286613,41.1,0.092230804,yolov5m,0.519924891491731,12,6.090927,50.5,0.178095215,yolov5l,0.603092344601949,15,12.222015,58.9,0.277613103
3,4263,2.213204050051531,100,95.59,yolov5n,0.7071755528450012,1,0.840635,11.0,0.0430157,yolov5s,0.7427641749382019,1,1.871272,64.7,0.053170857,yolov5m,0.5602059364318848,3,4.858447,65.4,0.1534111829999999,yolov5l,0.9264290928840636,1,11.947479,53.7,0.270948248
4,4373,2.1073343095714088,100,287.258,yolov5n,0.0,0,0.842893,7.6,0.03098139,yolov5s,0.6548111438751221,1,2.634759,22.8,0.088327901,yolov5m,0.0,0,5.088488,14.4,0.122859069,yolov5l,0.5237034691704644,9,15.293113,66.1,0.429927639
5,4431,2.281035262998461,100,240.946,yolov5n,0.4767712930153156,29,0.84332,10.6,0.02985571,yolov5s,0.5045570768415928,40,2.763848,38.3,0.067609782,yolov5m,0.4315286560638531,37,6.293624,60.7,0.150898711,yolov5l,0.6009982566941868,22,11.763764,58.0,0.263725739
6,1850,2.1574061197733663,100,236.129,yolov5n,0.6884406059980392,4,0.843748,12.0,0.037168849,yolov5s,0.7173342943191529,5,2.225275,19.8,0.070078868,yolov5m,0.6632503668467203,6,4.223866,47.6,0.10116221,yolov5l,0.7563921093940735,5,8.169717,49.4,0.18605478
7,4335,2.3948179130298133,100,202.811,yolov5n,0.5421802674730619,12,0.862974,41.5,0.030732876,yolov5s,0.5882524435336773,13,3.294181,36.7,0.092968661,yolov5m,0.4995903273423512,15,5.83281,35.5,0.13948246,yolov5l,0.6094075124710798,16,16.583636,66.3,0.458835451
8,4306,2.591224570870021,100,228.396,yolov5n,0.4708627551794052,10,0.90692,41.3,0.031708683,yolov5s,0.498782704770565,20,3.285514,43.0,0.093307604,yolov5m,0.4575199937820434,25,6.236251,41.8,0.151701028,yolov5l,0.6965522192991697,13,15.277122,65.9,0.432538317
9,4558,2.311619612718097,100,390.273,yolov5n,0.0,0,0.909604,11.6,0.033328179,yolov5s,0.2588565945625305,1,2.632439,29.4,0.067039864,yolov5m,0.0,0,6.252364,52.3,0.143052578,yolov5l,0.5098250210285187,2,11.306489,53.6,0.2738960729999999
10,4756,4.130343865424545,100,206.706,yolov5n,0.6322114989161491,8,0.92169,51.0,0.031614558,yolov5s,0.632803120396354,11,2.238214,60.8,0.071074478,yolov5m,0.5735818892717361,18,4.074757,14.7,0.0980559489999999,yolov5l,0.935435116291046,2,14.813194,63.4,0.391608209
11,1118,2.5444369383767778,100,174.684,yolov5n,0.5063163389762243,6,0.941038,11.0,0.043943795,yolov5s,0.6364635725816091,6,3.641897,33.9,0.116018342,yolov5m,0.4741614546094622,7,5.748826,55.0,0.2110530109999999,yolov5l,0.6325766444206238,7,15.400107,67.7,0.4347232179999999
